sepal length (cm),sepal width (cm),label
5.1,3.5,setosa
4.9,3.0,setosa
4.7,3.2,setosa
4.6,3.1,setosa
5.0,3.6,setosa
5.4,3.9,setosa
4.6,3.4,setosa
5.0,3.4,setosa
4.4,2.9,setosa
4.9,3.1,setosa
5.4,3.7,setosa
4.8,3.4,setosa
4.8,3.0,setosa
4.3,3.0,setosa
5.8,4.0,setosa
5.7,4.4,setosa
5.4,3.9,setosa
5.1,3.5,setosa
5.7,3.8,setosa
5.1,3.8,setosa
5.4,3.4,setosa
5.1,3.7,setosa
4.6,3.6,setosa
5.1,3.3,setosa
4.8,3.4,setosa
5.0,3.0,setosa
5.0,3.4,setosa
5.2,3.5,setosa
5.2,3.4,setosa
4.7,3.2,setosa
4.8,3.1,setosa
5.4,3.4,setosa
5.2,4.1,setosa
5.5,4.2,setosa
4.9,3.1,setosa
5.0,3.2,setosa
5.5,3.5,setosa
4.9,3.6,setosa
4.4,3.0,setosa
5.1,3.4,setosa
5.0,3.5,setosa
4.5,2.3,setosa
4.4,3.2,setosa
5.0,3.5,setosa
5.1,3.8,setosa
4.8,3.0,setosa
5.1,3.8,setosa
4.6,3.2,setosa
5.3,3.7,setosa
5.0,3.3,setosa
7.0,3.2,versicolor
6.4,3.2,versicolor
6.9,3.1,versicolor
5.5,2.3,versicolor
6.5,2.8,versicolor
5.7,2.8,versicolor
6.3,3.3,versicolor
4.9,2.4,versicolor
6.6,2.9,versicolor
5.2,2.7,versicolor
5.0,2.0,versicolor
5.9,3.0,versicolor
6.0,2.2,versicolor
6.1,2.9,versicolor
5.6,2.9,versicolor
6.7,3.1,versicolor
5.6,3.0,versicolor
5.8,2.7,versicolor
6.2,1.2,versicolor
5.6,2.5,versicolor
5.9,3.2,versicolor
6.1,2.8,versicolor
6.3,2.5,versicolor
6.1,2.8,versicolor
6.4,2.9,versicolor
6.6,3.0,versicolor
6.8,2.8,versicolor
6.7,3.0,versicolor
6.0,2.9,versicolor
5.7,2.6,versicolor
5.5,2.4,versicolor
5.5,2.4,versicolor
5.8,2.7,versicolor
6.0,2.7,versicolor
5.4,3.0,versicolor
6.0,3.4,versicolor
6.7,3.1,versicolor
6.3,2.3,versicolor
5.6,3.0,versicolor
5.5,2.5,versicolor
5.5,2.6,versicolor
6.1,3.0,versicolor
5.8,2.6,versicolor
5.0,2.3,versicolor
5.6,2.7,versicolor
5.7,3.0,versicolor
5.7,2.9,versicolor
6.2,2.9,versicolor
5.1,2.5,versicolor
5.7,2.8,versicolor
